date,daily_sales
2025-01-01,992
2025-01-02,1183
2025-01-03,1112
2025-01-04,1186
2025-01-05,1207
2025-01-06,1274
2025-01-07,1318
2025-01-08,1293
2025-01-09,1369
2025-01-10,1294
2025-01-11,1270
2025-01-12,1186
2025-01-13,1193
2025-01-14,1116
2025-01-15,1038
2025-01-16,968
2025-01-17,1044
2025-01-18,867
2025-01-19,765
2025-01-20,749
2025-01-21,738
2025-01-22,736
2025-01-23,723
2025-01-24,728
2025-01-25,688
2025-01-26,753
2025-01-27,742
2025-01-28,798
2025-01-29,841
2025-01-30,890
2025-01-31,1042
2025-02-01,1089
2025-02-02,1161
2025-02-03,1177
2025-02-04,1254
2025-02-05,1189
2025-02-06,1319
2025-02-07,1305
2025-02-08,1323
2025-02-09,1300
2025-02-10,1220
2025-02-11,1163
2025-02-12,1147
2025-02-13,1144
2025-02-14,1089
2025-02-15,945
2025-02-16,898
2025-02-17,849
2025-02-18,809
2025-02-19,722
2025-02-20,683
2025-02-21,681
2025-02-22,705
2025-02-23,654
2025-02-24,710
2025-02-25,782
2025-02-26,724
2025-02-27,815
2025-02-28,918
2025-03-01,920
2025-03-02,977
2025-03-03,1108
2025-03-04,1109
2025-03-05,1220
2025-03-06,1240
2025-03-07,1246
2025-03-08,1304
2025-03-09,1311
2025-03-10,1339
2025-03-11,1263
2025-03-12,1261
2025-03-13,1220
2025-03-14,1204
2025-03-15,1081
2025-03-16,1103
2025-03-17,1018
2025-03-18,884
2025-03-19,926
2025-03-20,913
2025-03-21,817
2025-03-22,797
2025-03-23,718
2025-03-24,635
2025-03-25,627
2025-03-26,724
2025-03-27,716
2025-03-28,740
2025-03-29,821
2025-03-30,902
2025-03-31,879
2025-04-01,982
2025-04-02,1122
2025-04-03,1079
2025-04-04,1211
2025-04-05,1203
2025-04-06,1281
2025-04-07,1329
2025-04-08,1328
2025-04-09,1334
2025-04-10,1239
2025-04-11,1304
2025-04-12,1188
2025-04-13,1186
2025-04-14,1132
2025-04-15,1081
2025-04-16,1013
2025-04-17,903
2025-04-18,823
2025-04-19,858
2025-04-20,784
2025-04-21,786
2025-04-22,712
2025-04-23,645
2025-04-24,740
2025-04-25,699
2025-04-26,753
2025-04-27,751
2025-04-28,889
2025-04-29,842
2025-04-30,924
2025-05-01,1004
2025-05-02,1018
2025-05-03,1135
2025-05-04,1240
2025-05-05,1203
2025-05-06,1275
2025-05-07,1175
2025-05-08,1296
2025-05-09,1285
2025-05-10,1252
2025-05-11,1303
2025-05-12,1209
2025-05-13,1169
2025-05-14,1106
2025-05-15,985
2025-05-16,954
2025-05-17,976
2025-05-18,793
2025-05-19,793
2025-05-20,761
2025-05-21,809
2025-05-22,745
2025-05-23,679
2025-05-24,753
2025-05-25,685
2025-05-26,780
2025-05-27,722
2025-05-28,866
2025-05-29,861
2025-05-30,896
2025-05-31,991
2025-06-01,1073
2025-06-02,1102
2025-06-03,1198
2025-06-04,1199
2025-06-05,1284
2025-06-06,1303
2025-06-07,1295
2025-06-08,1280
2025-06-09,1291
2025-06-10,1281
2025-06-11,1305
2025-06-12,1213
2025-06-13,1161
2025-06-14,1185
2025-06-15,1020
2025-06-16,957
2025-06-17,906
2025-06-18,783
2025-06-19,759
2025-06-20,719
2025-06-21,740
2025-06-22,694
2025-06-23,707
2025-06-24,758
2025-06-25,774
2025-06-26,770
2025-06-27,796
2025-06-28,923
2025-06-29,968
2025-06-30,935
2025-07-01,1049
2025-07-02,1128
2025-07-03,1207
2025-07-04,1259
2025-07-05,1271
2025-07-06,1308
2025-07-07,1300
2025-07-08,1271
2025-07-09,1274
2025-07-10,1260
2025-07-11,1221
2025-07-12,1100
2025-07-13,1106
2025-07-14,1064
2025-07-15,988
2025-07-16,927
2025-07-17,897
2025-07-18,780
2025-07-19,711
2025-07-20,2424
2025-07-21,2223
2025-07-22,2322
2025-07-23,2298
2025-07-24,2031
2025-07-25,2292
2025-07-26,2120
2025-07-27,2255
2025-07-28,2528
2025-07-29,2443
2025-07-30,2466
2025-07-31,2632
2025-08-01,2647
2025-08-02,2645
2025-08-03,2787
2025-08-04,1151
2025-08-05,1260
2025-08-06,1277
2025-08-07,1257
2025-08-08,1291
2025-08-09,1257
2025-08-10,1132
2025-08-11,1184
2025-08-12,1084
2025-08-13,1081
2025-08-14,948
2025-08-15,938
2025-08-16,866
2025-08-17,835
2025-08-18,782
2025-08-19,729
2025-08-20,653
2025-08-21,642
2025-08-22,678
2025-08-23,714
2025-08-24,715
2025-08-25,802
2025-08-26,812
2025-08-27,839
2025-08-28,926
2025-08-29,1009
2025-08-30,1075
2025-08-31,1197
2025-09-01,1149
2025-09-02,1220
2025-09-03,1276
2025-09-04,1284
2025-09-05,1278
2025-09-06,1236
2025-09-07,1264
2025-09-08,1216
2025-09-09,1153
2025-09-10,1144
2025-09-11,1080
2025-09-12,1085
2025-09-13,1024
2025-09-14,901
2025-09-15,867
2025-09-16,749
2025-09-17,757
2025-09-18,756
2025-09-19,747
2025-09-20,673
2025-09-21,743
2025-09-22,654
2025-09-23,690
2025-09-24,805
2025-09-25,890
2025-09-26,897
2025-09-27,936
2025-09-28,912
2025-09-29,981
2025-09-30,1127
2025-10-01,1162
2025-10-02,1178
2025-10-03,1262
2025-10-04,1289
2025-10-05,1336
2025-10-06,1303
2025-10-07,1334
2025-10-08,1260
2025-10-09,1218
2025-10-10,1218
2025-10-11,1082
2025-10-12,1174
2025-10-13,1015
2025-10-14,952
2025-10-15,898
2025-10-16,898
2025-10-17,808
2025-10-18,675
2025-10-19,770
2025-10-20,688
2025-10-21,705
2025-10-22,663
2025-10-23,761
2025-10-24,751
2025-10-25,827
2025-10-26,866
2025-10-27,1014
2025-10-28,1079
2025-10-29,1064
2025-10-30,1124
2025-10-31,1161
2025-11-01,1267
2025-11-02,1246
2025-11-03,1268
2025-11-04,1337
2025-11-05,1276
2025-11-06,1283
2025-11-07,1196
2025-11-08,1251
2025-11-09,1253
2025-11-10,1150
2025-11-11,1120
2025-11-12,966
2025-11-13,947
2025-11-14,840
2025-11-15,814
2025-11-16,807
2025-11-17,744
2025-11-18,658
2025-11-19,649
2025-11-20,646
2025-11-21,734
2025-11-22,822
2025-11-23,831
2025-11-24,747
2025-11-25,934
2025-11-26,975
2025-11-27,938
2025-11-28,1050
2025-11-29,1165
2025-11-30,1198
2025-12-01,1170
2025-12-02,1284
2025-12-03,1199
2025-12-04,1289
2025-12-05,1343
